icao24,origin_country,velocity,on_ground
3c6422,Germany,233.95,False
702098,Bangladesh,95.38,False
702097,Bangladesh,127.06,False
7c6d9c,Australia,227.87,False
7c6d9b,Australia,190.06,False
151dd8,Russian Federation,27.66,False
440c8c,Austria,90.24,False
738054,Israel,245.5,False
440053,Austria,232.86,False
738053,Israel,235.07,False
738052,Israel,232.84,False
440052,Austria,235.54,False
3453d3,Spain,180.15,False
440051,Austria,218.79,False
e4a5a4,Brazil,213.38,False
738056,Israel,151.65,False
738059,Israel,239.01,False
44003f,Austria,225.01,False
3c6433,Germany,253.99,False
a6b47c,United States,241.79,False
44006d,Austria,6.17,True
3c6446,Germany,200.27,False
e48b01,Brazil,194.3,False
4b161f,Switzerland,215.92,False
a3534a,United States,212.02,False
3453c3,Spain,222.72,False
